;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Número de denuncias de delitos de mayor incidencia -robo a unidades económicas- según cantón de ocurrencia por año y mes (2014 - 2026);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Provincia de ocurrencia;Código cantón_DPA;Cantón de ocurrencia;ene-14;feb-14;mar-14;abr-14;may-14;jun-14;jul-14;ago-14;sep-14;oct-14;nov-14;dic-14;ene-15;feb-15;mar-15;abr-15;may-15;jun-15;jul-15;ago-15;sep-15;oct-15;nov-15;dic-15;ene-16;feb-16;mar-16;abr-16;may-16;jun-16;jul-16;ago-16;sep-16;oct-16;nov-16;dic-16;ene-17;feb-17;mar-17;abr-17;may-17;jun-17;jul-17;ago-17;sep-17;oct-17;nov-17;dic-17;ene-18;feb-18;mar-18;abr-18;may-18;jun-18;jul-18;ago-18;sep-18;oct-18;nov-18;dic-18;ene-19;feb-19;mar-19;abr-19;may-19;jun-19;jul-19;ago-19;sep-19;oct-19;nov-19;dic-19;ene-20;feb-20;mar-20;abr-20;may-20;jun-20;jul-20;ago-20;sep-20;oct-20;nov-20;dic-20;ene-21;feb-21;mar-21;abr-21;may-21;jun-21;jul-21;ago-21;sep-21;oct-21;nov-21;dic-21;ene-22;feb-22;mar-22;abr-22;may-22;jun-22;jul-22;ago-22;sep-22;oct-22;nov-22;dic-22;ene-23;feb-23;mar-23;abr-23;may-23;jun-23;jul-23;ago-23;sep-23;oct-23;nov-23;dic-23;ene-24;feb-24;mar-24;abr-24;may-24;jun-24;jul-24;ago-24;sep-24;oct-24;nov-24;dic-24;ene-25;feb-25;mar-25;abr-25;may-25;jun-25;jul-25;ago-25;sep-25;oct-25;nov-25;dic-25;ene-26;feb-26
Azuay;0112;El Pan;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Azuay;0113;Sevilla De Oro;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Azuay;0114;Guachapala;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Azuay;0115;Camilo Ponce Enriquez;3;3;3;4;2;1;2;2;3;2;1;2;2;0;2;1;3;1;1;4;2;2;2;4;0;6;2;2;1;1;3;1;1;1;0;1;1;2;3;4;3;1;2;0;0;1;0;2;0;0;1;2;5;0;2;3;1;2;1;3;3;0;1;0;3;0;3;0;0;4;2;1;3;2;0;0;0;1;0;1;2;1;3;1;2;2;3;0;3;1;3;3;1;0;0;3;2;1;0;0;1;2;1;3;1;3;0;3;0;1;3;3;1;2;0;1;1;0;1;1;0;1;0;1;1;0;0;1;2;0;1;0;1;0;1;0;2;0;0;0;0;1;0;0;0;0
Bolívar;0201;Guaranda;3;0;2;1;1;1;2;0;1;3;1;1;0;1;2;1;1;1;1;1;1;3;0;5;1;1;2;0;1;1;2;0;1;1;2;0;0;1;3;0;2;1;1;0;0;1;1;1;1;0;3;0;0;0;0;0;1;0;3;1;0;0;1;0;2;1;0;1;1;1;1;0;1;1;1;1;1;0;0;1;0;0;0;0;0;0;2;1;0;1;3;0;1;0;0;3;0;0;1;1;0;0;1;1;1;0;1;2;2;1;3;1;1;1;1;0;0;0;0;1;0;0;0;1;0;0;0;2;0;0;0;1;1;1;0;1;1;1;0;0;0;0;0;0;0;0
Bolívar;0202;Chillanes;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bolívar;0203;Chimbo;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0
Bolívar;0204;Echeandia;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1;0;0;1;0;0;0;0;0;0;1;0;3;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Bolívar;0205;San Miguel;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;3;1;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Bolívar;0206;Caluma;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;2;0;1;0;0;1;0;2;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;1;0;0;0;2;2;0;0;1;0;0;0;0;0;2;2;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;1;0;0;0;2;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bolívar;0207;Las Naves;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
Cañar;0301;Azogues;2;3;1;2;5;1;2;1;3;4;1;4;0;0;4;3;2;2;4;0;1;0;1;2;3;3;2;2;4;1;1;3;0;0;3;3;1;1;1;1;1;6;2;8;3;4;3;1;3;2;3;2;0;3;3;1;0;1;0;0;1;3;1;3;0;4;2;0;3;0;0;2;3;1;3;0;0;1;0;0;0;0;0;2;3;1;1;0;3;2;1;0;3;4;6;4;1;3;1;3;3;4;0;2;5;6;6;0;2;0;0;1;2;1;2;3;4;1;2;0;2;1;1;2;3;2;1;3;0;6;4;2;3;1;0;1;1;0;2;0;2;0;1;1;0;0
Cañar;0302;Biblian;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;1;1;0;1;0;1;0;0;1;0;1;0;0;0;0;0;0;0;1;0;4;3;0;1;0;1;0;0;1;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;1;0;0;1;1;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
Cañar;0303;Cañar;0;2;1;1;0;1;0;1;1;0;1;0;0;0;1;0;1;0;0;0;0;3;2;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;1;0;3;0;2;1;1;0;0;1;1;1;1;0;1;0;1;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;5;1;0;0;0;0;0;0;0;2;0;1;0;0;1;0;0;0;0;0;0;0;1;0;1;1;0;1;0;0;0;0;0;0;0;2;0;0;1;0;3;0;0;1;0;0;0;0
Cañar;0304;La Troncal;1;2;7;5;4;2;3;5;6;1;4;0;3;2;3;2;5;0;3;0;0;3;3;2;2;2;3;2;3;1;4;2;1;0;1;1;2;1;0;0;5;3;3;3;3;3;3;2;1;1;0;2;1;1;3;3;4;1;2;5;2;1;3;1;3;1;1;1;1;3;2;1;3;2;1;0;0;0;2;1;1;3;3;1;2;4;2;1;0;3;6;4;2;1;2;3;3;6;8;6;1;1;4;3;3;3;5;4;2;0;3;3;0;1;1;0;1;1;4;0;2;0;4;2;5;1;3;1;0;0;4;2;1;1;0;0;1;0;2;0;1;2;2;0;0;1
Cañar;0305;El Tambo;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;2;1;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cañar;0306;Deleg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;1;0;0;0;0
Cañar;0307;Suscal;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Carchi;0401;Tulcan;1;3;2;3;4;2;2;4;5;6;1;2;3;3;2;1;5;1;3;2;2;4;0;2;5;2;1;3;1;0;0;2;3;1;2;2;0;0;3;0;2;2;0;1;1;1;1;4;1;1;2;0;1;1;0;2;2;1;0;0;3;1;2;2;0;1;1;2;1;0;0;2;3;1;0;2;0;2;0;1;1;0;2;2;3;5;4;1;1;2;2;2;1;1;3;3;3;0;1;1;2;0;2;1;2;0;1;3;0;1;1;3;1;1;1;1;0;1;1;1;5;5;0;0;1;1;0;1;1;2;1;0;0;0;2;0;1;0;0;0;0;1;3;1;0;1
Carchi;0402;Bolivar;0;0;0;0;1;0;0;0;0;0;1;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Carchi;0403;Espejo;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;2;0;1;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0
Carchi;0404;Mira;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Carchi;0405;Montufar;1;0;0;3;1;0;1;0;0;3;1;0;0;0;0;1;0;1;2;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;2;0;0;1;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;1;1;0;1;0;0;1;0;0;0;0;0;1;0;0;0;1;1;1;0;0;0;1;0;0;0;1;0;1;0;0;0;1;0;1;0;1;1
Carchi;0406;San Pedro De Huaca;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cotopaxi;0501;Latacunga;7;7;12;15;11;7;7;6;9;7;9;9;14;7;6;5;6;4;4;10;1;10;7;3;3;4;8;6;4;3;8;5;4;5;3;5;2;8;12;5;3;9;2;8;3;6;3;4;5;5;5;9;4;3;8;5;7;5;2;1;4;4;9;8;5;5;3;7;6;12;7;5;4;6;6;3;0;3;3;5;5;0;3;4;7;5;1;1;0;3;6;3;2;2;3;7;5;3;2;5;8;4;6;4;5;6;0;1;4;1;0;1;3;5;2;1;1;1;2;3;2;0;4;1;2;2;2;4;2;0;2;5;4;1;1;3;2;1;3;2;3;2;4;0;4;0
Cotopaxi;0502;La Mana;5;4;1;2;1;2;1;0;1;2;2;0;4;4;2;1;3;1;0;0;4;1;1;4;0;3;4;1;2;5;3;1;1;1;1;2;0;0;0;2;2;0;2;0;2;0;0;2;3;0;2;2;0;0;0;1;0;2;1;0;2;1;0;2;3;1;2;1;0;3;1;1;2;0;0;0;0;0;0;0;1;0;0;0;1;1;1;2;0;0;1;0;2;1;1;4;1;4;1;0;0;0;1;1;2;1;0;0;1;2;5;2;0;0;2;0;0;1;0;0;1;1;0;1;1;0;0;0;1;0;1;2;0;1;1;1;0;0;1;0;0;1;1;0;1;0
